ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.986013986013986,0.9979035639412999,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.970020964360587
Decision Tree,0.916083916083916,0.9461215932914047,0.9361702127659575,0.8301886792452831,0.88,0.819321090932508
kNN,0.9790209790209791,0.9918238993710692,1.0,0.9433962264150944,0.970873786407767,0.9554915436983854
Naive Bayes,0.9230769230769231,0.9884696016771488,0.9375,0.8490566037735849,0.8910891089108911,0.8342949598948355
Random Forest (Ensemble),0.958041958041958,0.9930817610062893,0.9607843137254902,0.9245283018867925,0.9423076923076923,0.9097751526641134
